Time(sec),X,Y,Z
0.052609,-0.01032644510269165,0.0335354208946228,0.11374461650848389
0.152997,-0.0010761022567749023,-0.029129087924957275,-0.06572657823562622
0.253517,0.07172206044197083,-0.003372788429260254,-0.001324772834777832
0.354108,-0.030689656734466553,-0.0031385421752929688,-0.049047768115997314
0.454481,-0.028739020228385925,0.01564764976501465,0.003100574016571045
0.555020,0.0005652308464050293,-0.019268691539764404,0.002057373523712158
0.655510,0.015109583735466003,-0.004848480224609375,0.03240978717803955
0.756063,0.02392914891242981,-0.007433861494064331,0.012330770492553711
0.856555,0.013237684965133667,-0.010435283184051514,-0.025382936000823975
0.957085,-0.028041481971740723,-0.0003917217254638672,-0.03743577003479004
1.057563,-0.030299201607704163,-0.005287677049636841,0.008910775184631348
1.158092,-0.002280890941619873,0.006883978843688965,-0.011877894401550293
1.258567,0.0008516311645507812,0.00019952654838562012,-0.028549551963806152
1.359074,0.00603407621383667,0.014534801244735718,0.03439992666244507
1.459392,-0.06147393584251404,0.03607308864593506,0.01949620246887207
1.560090,-0.03412565588951111,0.049523353576660156,0.051890432834625244
1.660673,-0.04935840517282486,0.03688499331474304,0.05451524257659912
1.761137,-0.08280256390571594,0.06684687733650208,0.03387361764907837
1.861634,0.029382318258285522,0.01332053542137146,-0.0224875807762146
1.962141,0.009444355964660645,0.02937033772468567,-0.00539010763168335
2.062561,0.009301185607910156,0.04977056384086609,0.061708927154541016
2.163116,0.021876633167266846,-0.003152191638946533,0.06566733121871948
2.263689,0.020493239164352417,-0.0012758374214172363,0.0014272332191467285
2.364186,0.03389286994934082,0.016330555081367493,-0.04189664125442505
2.464656,0.023344457149505615,-0.043329887092113495,0.02988755702972412
2.565156,-0.016498565673828125,-0.032990626990795135,-0.024219095706939697
2.665712,-0.053412675857543945,-0.00039939582347869873,0.08756935596466064
2.766169,0.0006522834300994873,0.021238215267658234,0.0012885332107543945
2.866758,0.051709532737731934,0.021541649475693703,-0.05081051588058472
2.967205,0.08652558922767639,-0.046782396733760834,-0.025451183319091797
3.067707,0.021679192781448364,0.035502880811691284,-0.07483571767807007
3.168196,0.08023402094841003,-0.004276048392057419,-0.2105330228805542
3.268736,0.00428350642323494,-0.02438494563102722,-0.005277514457702637
3.369159,0.010819956660270691,0.1283358335494995,0.16284465789794922
3.469736,-0.0635034590959549,0.11725291609764099,0.062097132205963135
3.570250,-0.06932505965232849,0.04936760663986206,-0.063099205493927
3.670718,-0.10212278366088867,0.2646493911743164,-0.2927781343460083
3.771300,0.0008614063262939453,-0.06031918525695801,-0.22359982132911682
3.871748,0.36032384634017944,-0.4401511549949646,0.29927051067352295
3.972287,-0.21936717629432678,-0.08867168426513672,0.37553274631500244
4.072732,-0.3315162658691406,0.161787748336792,0.11118191480636597
4.173260,-0.3953653573989868,0.07208472490310669,-0.21987444162368774
4.273891,-0.016355212777853012,-0.2473435401916504,-0.04915226995944977
4.374349,0.04782571643590927,-0.021214604377746582,0.09507352113723755
4.474778,0.004725053906440735,0.12431252002716064,0.060430288314819336
4.575291,-0.09821698069572449,0.18505632877349854,-0.16156750917434692
4.675868,0.06997896730899811,-0.13989222049713135,-0.037640221416950226
4.776342,0.19081857800483704,0.16648000478744507,-0.04979473352432251
4.876909,-0.1497936248779297,-0.17307376861572266,-0.3150153160095215
4.977397,-0.10096864402294159,-0.026251912117004395,-0.09364987909793854
5.077851,0.05051538348197937,-0.3648948073387146,0.20964562892913818
5.178363,-0.09750811755657196,-0.14712876081466675,0.2810283601284027
5.278734,-0.39126071333885193,0.20215833187103271,-0.021701008081436157
5.379380,-0.21554657816886902,-0.03709876537322998,-0.1733306646347046
5.479910,0.10269138216972351,-0.19801604747772217,0.010813355445861816
5.580396,0.1738576591014862,-0.006002187728881836,0.047082602977752686
5.680981,0.008761651813983917,-0.0034834742546081543,0.03737402707338333
5.781488,-0.052414387464523315,0.010071933269500732,-0.015302184969186783
5.882023,-0.19316598773002625,-0.019241034984588623,-0.09392691403627396
5.982597,0.17194980382919312,-0.1864708662033081,-0.06370449811220169
6.083042,0.14077350497245789,-0.10189110040664673,0.18436062335968018
6.183618,-0.00984124094247818,0.12064480781555176,0.20800042152404785
6.283941,-0.2484954297542572,0.12826323509216309,-0.05345815420150757
6.384445,-0.18595388531684875,-0.1694047451019287,-0.16211724281311035
6.484945,0.03939300775527954,-0.12652742862701416,-0.0512615442276001
6.585438,0.08137109875679016,-0.039043962955474854,0.0817217230796814
6.686100,0.11865009367465973,0.07914400100708008,0.03952491283416748
6.786479,-0.004717916250228882,-0.066897451877594,0.015567239373922348
6.887000,-0.03317936882376671,0.029706954956054688,-0.05156832933425903
6.987595,-0.13463474810123444,-0.006602287292480469,-0.09831845760345459
7.087946,-0.032883450388908386,-0.22109955549240112,-0.06342428177595139
7.188575,0.11878681182861328,-0.11429554224014282,0.1631087362766266
7.289031,-0.1923934519290924,0.059446752071380615,0.0981144905090332
7.389466,-0.1339825987815857,0.1713849902153015,-0.17516566812992096
7.490086,-0.07126282155513763,-0.19172853231430054,-0.07492554187774658
7.590523,0.16321749985218048,0.032016098499298096,0.09795260429382324
7.691000,0.11000441014766693,0.020760715007781982,0.1296546757221222
7.791737,0.006679721176624298,-0.0023502111434936523,-0.020156562328338623
7.892035,-0.01160287857055664,-0.027512550354003906,-0.03189140558242798
7.992595,-0.09763575345277786,0.030804693698883057,-0.020949073135852814
8.093100,0.03457152843475342,0.02688974142074585,-0.06440901756286621
8.193567,0.16741536557674408,-0.19053220748901367,0.0756712555885315
8.294198,0.027233736589550972,-0.027574360370635986,0.19656163454055786
8.394699,-0.24430733919143677,0.12401646375656128,0.09683632850646973
8.495143,-0.1821960210800171,0.013180732727050781,-0.16236567497253418
8.595624,0.013919852674007416,-0.11906856298446655,0.003893733024597168
8.696136,0.08941319584846497,-0.02070748805999756,0.1251276731491089
8.796634,0.11567842960357666,0.03938722610473633,0.0679434984922409
8.897099,-0.00777830183506012,-0.0597841739654541,-0.019259095191955566
8.997692,-0.03881262242794037,-0.004650294780731201,-0.02297401800751686
9.098142,-0.012915149331092834,-0.0014015436172485352,-0.036202192306518555
9.198679,-0.09172935783863068,0.04850965738296509,-0.11756575107574463
9.299253,0.21313676238059998,-0.2108525037765503,0.087948739528656
9.399730,0.11486774682998657,-0.16316014528274536,0.24329185485839844
9.500168,-0.2283456027507782,0.12566548585891724,0.11586126685142517
9.600670,-0.279607892036438,0.05929458141326904,-0.19546568393707275
9.701262,0.06942425668239594,-0.19885653257369995,-0.0692887231707573
9.801724,0.09105712175369263,-0.0007632970809936523,0.08924007415771484
9.902207,-0.007826298475265503,0.08415180444717407,0.05075015127658844
10.002692,-0.04008060693740845,0.0176541805267334,-0.05349045991897583
10.103271,-0.052906110882759094,-0.045346200466156006,-0.02822231873869896
10.203800,-0.009929344058036804,0.14355051517486572,-0.02416127920150757
10.304208,0.02821493148803711,-0.07838350534439087,-0.06880933046340942
10.404721,0.17375263571739197,-0.24787813425064087,0.13231950998306274
10.505229,0.03713572025299072,-0.03359431028366089,0.21235951781272888
10.605815,-0.25789618492126465,0.09340190887451172,0.05709478259086609
10.706304,-0.1788264960050583,0.04042410850524902,-0.11961829662322998
10.806794,0.023974038660526276,-0.14958184957504272,-0.021113961935043335
10.907237,0.1123422384262085,-0.0690453052520752,0.09707742929458618
11.007808,0.12591975927352905,-0.15696555376052856,0.16426241397857666
11.108374,0.0744815468788147,-0.21743255853652954,0.13600903749465942
11.208873,0.0714663490653038,-0.11901891231536865,0.21432554721832275
11.309309,0.03614544868469238,-0.07719248533248901,0.3143996596336365
11.409941,0.11558935046195984,0.18841171264648438,0.3993707299232483
11.510279,0.10443879663944244,0.21473640203475952,0.4692303538322449
11.610849,0.18839672207832336,0.22590819001197815,0.1518017053604126
11.711481,-0.2367650270462036,0.2311720997095108,0.18677574396133423
11.811827,-0.09293367713689804,0.3650270402431488,0.06614857912063599
11.912465,-0.051730528473854065,0.42701423168182373,-0.24959474802017212
12.012899,0.026866406202316284,0.33199942111968994,-0.30632925033569336
12.113501,-0.015024513006210327,0.008895576000213623,0.007635831832885742
12.213897,0.035009704530239105,-0.08107584714889526,0.10340464115142822
12.314463,0.009555324912071228,0.053961753845214844,-0.05460590124130249
12.414897,-0.052463218569755554,0.06931865215301514,-0.1540607213973999
12.515385,0.010616624727845192,0.21472984552383423,-0.07936173677444458
12.615907,-0.08885606378316879,0.16568422317504883,-0.1303984522819519
12.716446,-0.09037154912948608,0.3985167145729065,-0.16619211435317993
12.816927,-0.042783260345458984,0.5077921152114868,0.0586395263671875
12.917542,0.09120872616767883,0.5840542912483215,0.2771439552307129
13.017939,0.23570235073566437,0.7313699722290039,0.28308823704719543
13.118445,0.06300950050354004,0.09044754505157471,0.4686732292175293
13.219041,-0.017682328820228577,-0.3282082676887512,0.3336843252182007
13.319491,0.025125160813331604,-0.18581730127334595,0.13227307796478271
13.419970,-0.07487791776657104,-0.018453657627105713,0.04622173309326172
13.520456,-0.0025297626852989197,-0.12682634592056274,0.03296962380409241
13.620937,0.2315218448638916,-0.1801024079322815,0.3060966730117798
13.721518,0.05979204177856445,-0.025059044361114502,0.25258344411849976
13.822051,-0.3609906733036041,0.12549906969070435,0.06250216066837311
13.922585,-0.21066762506961823,-0.13921064138412476,-0.24154113233089447
14.023056,0.10464008152484894,-0.19652962684631348,-0.0343705415725708
14.123532,0.10596883296966553,0.0023877620697021484,0.06719803810119629
14.223985,0.06500692665576935,0.07894903421401978,0.01180148497223854
14.324590,0.008290931582450867,-0.06579732894897461,-0.021207571029663086
14.425108,-0.05483779311180115,0.11387902498245239,-0.053526878356933594
14.525607,0.021930962800979614,-0.1102522611618042,-0.06415320187807083
14.626029,0.1955721527338028,-0.23603856563568115,0.1377010941505432
14.726607,-0.011767655611038208,0.09767836332321167,0.22865547239780426
14.827079,-0.2654567062854767,0.08708953857421875,-0.015474021434783936
14.927637,-0.2247188687324524,-0.13413965702056885,-0.182265043258667
15.028232,0.0614180713891983,-0.15864533185958862,-0.011101648211479187
15.128683,0.1790686845779419,0.006483852863311768,0.12147295475006104
15.229227,0.10924381017684937,0.051222026348114014,0.08009231090545654
15.329574,-0.021243959665298462,-0.024398863315582275,-0.030891053378582
15.430087,-0.014153912663459778,0.015747785568237305,-0.023500561714172363
15.530686,-0.09158805012702942,0.04750162363052368,-0.049683451652526855
15.631104,0.07810404896736145,-0.12318652868270874,-0.0476996973156929
15.731704,0.11834657192230225,-0.1520705223083496,0.12770718336105347
15.832111,-0.06400195509195328,0.054874539375305176,0.09578365832567215
15.932685,-0.21490433812141418,0.07976526021957397,-0.01128929853439331
16.033161,-0.1658671498298645,0.0005118846893310547,-0.15233516693115234
16.133687,0.12608221173286438,-0.03582501411437988,-0.00139521062374115
16.234254,0.08499673008918762,-0.06581217050552368,0.07290434837341309
16.334711,0.09659095108509064,0.05302542448043823,0.03646504878997803
16.435154,-0.037653759121894836,-0.05462360382080078,-0.021013379096984863
16.535671,-0.059619657695293427,-0.01245415210723877,-0.036762118339538574
16.636167,-0.09116421639919281,0.05403757095336914,-0.09435652941465378
16.736738,0.12161092460155487,-0.25289857387542725,0.0791546106338501
16.837206,0.08078882098197937,0.014548957347869873,0.1825772523880005
16.937760,-0.21209155023097992,0.16566479206085205,0.04545563459396362
17.038232,-0.15902557969093323,0.06663084030151367,-0.16235125064849854
17.138748,0.06789574027061462,-0.24430036544799805,-0.00632070004940033
17.239311,0.12684738636016846,-0.0229148268699646,0.11598539352416992
17.339745,0.03216831386089325,0.09397262334823608,0.04351848363876343
17.440253,-0.08405770361423492,0.04019725322723389,-0.06369853019714355
17.540860,-0.10075489431619644,0.08519357442855835,-0.10503850877285004
17.641368,0.013138845562934875,-0.1487153172492981,-0.021773703396320343
17.741775,0.16452790796756744,-0.1459658145904541,0.13644498586654663
17.842352,-0.04080241918563843,0.10934573411941528,0.15302610397338867
17.942773,-0.19779467582702637,0.03313571214675903,-0.03323465213179588
18.043385,-0.13620895147323608,0.031430184841156006,-0.09150753915309906
18.143804,0.04698212444782257,-0.16894227266311646,-0.034251198172569275
18.244344,0.14086344838142395,0.039162635803222656,0.08843326568603516
18.344889,0.039262980222702026,-0.030628204345703125,0.019522907212376595
18.445389,-0.0041402727365493774,0.009312808513641357,-0.019616954028606415
18.545862,-0.12660445272922516,0.07068735361099243,-0.1165761947631836
18.646363,-0.02388674020767212,-0.05226260423660278,-0.0457841232419014
18.746912,0.15447846055030823,-0.11427372694015503,0.12175840139389038
18.847400,0.0017125904560089111,-0.011822998523712158,0.10347115993499756
18.947842,-0.1394580602645874,0.10242938995361328,0.011845950037240982
19.048432,-0.24780893325805664,0.02307814359664917,-0.13015389442443848
19.148923,0.012117899954319,-0.13639843463897705,-0.06708432734012604
19.249447,0.14300744235515594,-0.025740206241607666,0.137689471244812
19.349925,0.09440799057483673,-0.007678806781768799,0.04049128293991089
19.450383,0.017383724451065063,0.0630461573600769,0.0012468136847019196
19.550917,-0.06043384224176407,-0.03577953577041626,-0.043405771255493164
19.651378,-0.08386466652154922,0.08716475963592529,-0.048281557857990265
19.751928,0.06842628121376038,-0.09940165281295776,-0.05133652687072754
