Time(sec),X,Y,Z
0.084074,-0.010987251996994019,0.045190393924713135,-0.005959212779998779
0.182067,0.01858040690422058,-0.010267972946166992,-0.03565382957458496
0.282579,-0.056992486119270325,-0.0072593092918396,-0.016661107540130615
0.383126,-0.020693548023700714,0.008539706468582153,-0.07210969924926758
0.483589,-0.05437198281288147,-0.01085573434829712,0.039935290813446045
0.584026,-0.0853697657585144,0.04281476140022278,0.23191821575164795
0.684670,-0.05030888319015503,0.1210969090461731,0.017396748065948486
0.785062,0.059126973152160645,0.0153273344039917,0.09156465530395508
0.885620,0.10182039439678192,-0.01056581735610962,-0.1392260193824768
0.986061,-0.0049708932638168335,0.0628507137298584,-0.0852041244506836
1.086453,-0.0017559230327606201,-0.0009983181953430176,0.012717485427856445
1.186992,-0.058650821447372437,0.08225759863853455,-0.02170121669769287
1.287529,0.005180001258850098,-0.07244989275932312,-0.08251899480819702
1.388002,0.021390214562416077,0.028140246868133545,0.06190073490142822
1.488620,0.013736411929130554,0.010672718286514282,-0.02700650691986084
1.589148,-0.017730168998241425,-0.02998453378677368,-0.19718670845031738
1.689693,0.051294803619384766,-0.02354012429714203,-0.0058632493019104
1.790152,-0.035572752356529236,0.0967879593372345,0.08404916524887085
1.890602,0.0016270875930786133,-0.004668772220611572,0.010045766830444336
1.991328,0.03204545006155968,-0.08461001515388489,-0.07765573263168335
2.091728,0.002885321155190468,-0.013274192810058594,0.007065713405609131
2.192239,0.00500664534047246,-0.007948383688926697,0.018532752990722656
2.292529,-0.06186937168240547,0.022895455360412598,0.008791625499725342
2.393243,0.010383039712905884,-0.009222477674484253,-0.060475945472717285
2.493783,-0.03583548963069916,-0.009939968585968018,0.012348651885986328
2.594264,-0.008838128298521042,0.0008183419704437256,-0.020446598529815674
2.694832,-0.005485452711582184,0.0069439709186553955,-0.020083129405975342
2.795479,-0.004043756052851677,-0.003980040550231934,-0.0075111985206604
2.895672,0.024471431970596313,-0.000825047492980957,-0.02966320514678955
2.996339,-0.018119633197784424,0.012395888566970825,0.041920602321624756
3.096830,0.02252788096666336,0.0002675950527191162,0.07453751564025879
3.197395,0.012508910149335861,0.1586267352104187,0.1383582353591919
3.297843,-0.16453562676906586,0.03635251522064209,-0.13807404041290283
3.398455,-0.022338062524795532,-0.2500765919685364,-0.36686500906944275
3.498900,0.21035851538181305,-0.20092320442199707,0.04675406217575073
3.599550,0.24488785862922668,-0.12443095445632935,0.41567397117614746
3.699894,-0.21873082220554352,0.07482713460922241,0.10380864143371582
3.800449,-0.28663694858551025,-0.025729238986968994,-0.2167333960533142
3.900776,-0.1883401870727539,0.022329747676849365,-0.23905041813850403
4.001476,0.11897020787000656,-0.10664445161819458,0.047239452600479126
4.101970,0.16033674776554108,-0.025476038455963135,0.1335882842540741
4.202565,-0.019428811967372894,0.0017619132995605469,-0.0008047819137573242
4.302976,-0.034991536289453506,0.02416902780532837,-0.022368282079696655
4.403484,-0.06857145577669144,0.022246181964874268,-0.011441707611083984
4.504056,-0.19267144799232483,0.053171753883361816,-0.17576023936271667
4.604508,0.1426960825920105,-0.27322858572006226,-0.06809651851654053
4.705028,0.2722401022911072,-0.0742231011390686,0.30803990364074707
4.805644,-0.14128506183624268,0.09109532833099365,0.1702553629875183
4.906049,-0.24884659051895142,0.02205890417098999,-0.17311161756515503
5.006568,-0.2116173356771469,0.014533638954162598,-0.22752124071121216
5.107047,0.15517796576023102,-0.1882985234260559,0.0538918673992157
5.207622,0.16397294402122498,0.011934876441955566,0.16052532196044922
5.308122,-0.025189831852912903,0.06695640087127686,0.0023107528686523438
5.408404,-0.05579676479101181,-0.05734378099441528,-0.061807841062545776
5.509023,-0.01971706748008728,-0.031098663806915283,-0.024586230516433716
5.609696,-0.1265232264995575,0.0664711594581604,-0.05682536959648132
5.710123,0.004573553800582886,-0.1574684977531433,-0.09601712226867676
5.810663,0.3224774897098541,-0.12977445125579834,0.14246061444282532
5.911156,-0.04810691624879837,0.06279987096786499,0.21358996629714966
6.011645,-0.2834077477455139,0.006745100021362305,-0.13114869594573975
6.112208,-0.20592454075813293,-0.02299600839614868,-0.24687623977661133
6.212758,0.045123666524887085,-0.06625539064407349,0.008884385228157043
6.313271,0.17209790647029877,-0.004757583141326904,0.12905406951904297
6.413741,-0.0025025680661201477,0.003848552703857422,-0.015505075454711914
6.514217,-0.06462191045284271,-0.035194218158721924,-0.05603159964084625
6.614784,0.008436847478151321,-0.0029979348182678223,0.007351219654083252
6.715255,-0.0071979109197855,0.016211748123168945,0.002476319670677185
6.815781,-0.033929966390132904,-0.007072806358337402,-0.018666863441467285
6.916306,-0.014862410724163055,0.027517199516296387,-0.05394410341978073
7.016784,0.0050248801708221436,0.003648221492767334,-0.07089108228683472
7.117329,0.040090009570121765,-0.0529136061668396,-0.00326363742351532
7.217836,0.12629330158233643,-0.048637986183166504,0.09487259387969971
7.318450,0.003948449157178402,-0.03637099266052246,0.11843189597129822
7.418748,-0.05891646444797516,0.030391573905944824,0.061503589153289795
